bytes,time (ns)
1000,6502
2000,6100
3000,6623
4000,5065
5000,2836
6000,6510
7000,4236
8000,5576
9000,4622
10000,3429
11000,5621
12000,4140
13000,62347
14000,4490
15000,3562
16000,4762
17000,4828
18000,6506
19000,4217
20000,4715
21000,6005
22000,5680
23000,6557
24000,61871
25000,5539
26000,5877
27000,64632
28000,62447
29000,62680
30000,63081
31000,63970
32000,64444
33000,63695
34000,62865
35000,65098
36000,63166
37000,63836
38000,61240
39000,63531
40000,64455
41000,65894
42000,63212
43000,63163
44000,62534
45000,65126
46000,64506
47000,64036
48000,63073
49000,64048
50000,61655
51000,62629
52000,63455
53000,62080
54000,67403
55000,62789
56000,64941
57000,63201
58000,65885
59000,63206
60000,54801
61000,63585
62000,63465
63000,64585
64000,63730
65000,65548
66000,65602
67000,64793
68000,63475
69000,62628
70000,66289
71000,65624
72000,65488
73000,64510
74000,62258
75000,63601
76000,65477
77000,63520
78000,51884
79000,61792
80000,50042
81000,62762
82000,63589
83000,63521
84000,63918
85000,63880
86000,64113
87000,64198
88000,62267
89000,63533
90000,63319
91000,63569
92000,63209
93000,63688
94000,63816
95000,63440
96000,64560
97000,62234
98000,64343
99000,63429
100000,62278
101000,63656
102000,18648
103000,64566
104000,62416
105000,64104
106000,61645
107000,62823
108000,63093
109000,63336
110000,64217
111000,61563
112000,61169
113000,63149
114000,62342
115000,63354
116000,63115
117000,61027
118000,62899
119000,63556
120000,62357
121000,63475
122000,61785
123000,63347
124000,28390
125000,62728
126000,63229
127000,63568
128000,60879
129000,48500
130000,63501
131000,63179
132000,62173
133000,62234
134000,61443
135000,60545
136000,63428
137000,62017
138000,63154
139000,62269
140000,61075
141000,63222
142000,63498
143000,61109
144000,59830
145000,47515
146000,67498
147000,60721
148000,60859
149000,61254
150000,63858
151000,63254
152000,62784
153000,61006
154000,62645
155000,60865
156000,63016
157000,61178
158000,59797
159000,49975
160000,60203
161000,60820
162000,48832
163000,59330
164000,59553
165000,62354
166000,62284
167000,74703
168000,59956
169000,59378
170000,62159
171000,61198
172000,58216
173000,60306
174000,58949
175000,60782
176000,62304
177000,61131
178000,61589
179000,59953
180000,61763
181000,59608
182000,60425
183000,60786
184000,61967
185000,61882
186000,59328
187000,60085
188000,59780
189000,58815
190000,60223
191000,59992
192000,60068
193000,60041
194000,58995
195000,60866
196000,59222
197000,60256
198000,60592
199000,60296
200000,60634
201000,60973
202000,60469
203000,56116
204000,59567
205000,57772
206000,58304
207000,58978
208000,60561
209000,58796
210000,59526
211000,57061
212000,58838
213000,58163
214000,57763
215000,58589
216000,57920
217000,57334
218000,58723
219000,57004
220000,60074
221000,57222
222000,57952
223000,59305
224000,59163
225000,59766
226000,59765
227000,59758
228000,57688
229000,57516
230000,58782
231000,56026
232000,63716
233000,58050
234000,58046
235000,58939
236000,59034
237000,59505
238000,56631
239000,57887
240000,57395
241000,55605
242000,59179
243000,58196
244000,57231
245000,56807
246000,58947
247000,58120
248000,57395
249000,59316
250000,58034
251000,59469
252000,57363
253000,86833
254000,56965
255000,58365
256000,57292
257000,58983
258000,56008
259000,56407
260000,56517
261000,56607
262000,56604
263000,57391
264000,57522
265000,55513
266000,57658
267000,56725
268000,55518
269000,57136
270000,57419
271000,55570
272000,56710
273000,56843
274000,56008
275000,54055
276000,57100
277000,57449
278000,57830
279000,55327
280000,63894
281000,54854
282000,55058
283000,54791
284000,54522
285000,54796
286000,54836
287000,54632
288000,54130
289000,52737
290000,55950
291000,55341
292000,54583
293000,55617
294000,43681
295000,54088
296000,53067
297000,67373
298000,43165
299000,57308
300000,55531
301000,55546
302000,54655
303000,56426
304000,54392
305000,55500
306000,53857
307000,54181
308000,55567
309000,56121
310000,44280
311000,52618
312000,56013
313000,56146
314000,53781
315000,56240
316000,55277
317000,54266
318000,52635
319000,53670
320000,53277
321000,55868
322000,53473
323000,55439
324000,53105
325000,54387
326000,52848
327000,53077
328000,54228
329000,52636
330000,53476
331000,54010
332000,53890
333000,54426
334000,54414
335000,54006
336000,50528
337000,55090
338000,52231
339000,52341
340000,52942
341000,52820
342000,55174
343000,55131
344000,54384
345000,54170
346000,53706
347000,52947
348000,59340
349000,53087
350000,40925
351000,54713
352000,53448
353000,54764
354000,54432
355000,52805
356000,55179
357000,52872
358000,52574
359000,50645
360000,52889
361000,131934
362000,50370
363000,53543
364000,52329
365000,99031
366000,53515
367000,54858
368000,54405
369000,51863
370000,53044
371000,52909
372000,52838
373000,52728
374000,52779
375000,53659
376000,52436
377000,52341
378000,51813
379000,51743
380000,52842
381000,47873
382000,51493
383000,51452
384000,51293
385000,51887
386000,51164
387000,54158
388000,50781
389000,54033
390000,49829
391000,55784
392000,53554
393000,51599
394000,51992
395000,53279
396000,51563
397000,52375
398000,53020
399000,50118
400000,53246
401000,50263
402000,69179
403000,49408
404000,49591
405000,109687
406000,50702
407000,53029
408000,52820
409000,52360
410000,51642
411000,49755
412000,52295
413000,50745
414000,50782
415000,49344
416000,49561
417000,54172
418000,49122
419000,98106
420000,48227
421000,49896
422000,101356
423000,50832
424000,51172
425000,50374
426000,50207
427000,49258
428000,50819
429000,49694
430000,51715
431000,49484
432000,51001
433000,48988
434000,51105
435000,51667
436000,49807
437000,48548
438000,48150
439000,50282
440000,49941
441000,51068
442000,49023
443000,48518
444000,50407
445000,51098
446000,107237
447000,48635
448000,49659
449000,49970
450000,49415
451000,50184
452000,108284
453000,107765
454000,108559
455000,108550
456000,108415
457000,106592
458000,107457
459000,107470
460000,81852
461000,108518
462000,107714
463000,104984
464000,107972
465000,106729
466000,106296
467000,108712
468000,107708
469000,105854
470000,106940
471000,106789
472000,105720
473000,107414
474000,106301
475000,106422
476000,108842
477000,105856
478000,108002
479000,106214
480000,107445
481000,105300
482000,106113
483000,105632
484000,107165
485000,107964
486000,105314
487000,105093
488000,100427
489000,114058
490000,109019
491000,108484
492000,109986
493000,93194
494000,107771
495000,109558
496000,110736
497000,108370
498000,109487
499000,106079
500000,109191
501000,110370
502000,108741
503000,108984
504000,108803
505000,108416
506000,109092
507000,109175
508000,109438
509000,183157
510000,108888
511000,107127
512000,108805
513000,109776
514000,110046
515000,106873
516000,109855
517000,109508
518000,109309
519000,107777
520000,106698
521000,109083
522000,110132
523000,108868
524000,107760
525000,107404
526000,108471
527000,94561
528000,106797
529000,96227
530000,108727
531000,107823
532000,108748
533000,106350
534000,108101
535000,108760
536000,108468
537000,108636
538000,109395
539000,106090
540000,82030
541000,105939
542000,108917
543000,107423
544000,108205
545000,105831
546000,107208
547000,107954
548000,105662
549000,105821
550000,104384
551000,107155
552000,107012
553000,108157
554000,107556
555000,105791
556000,90878
557000,108231
558000,106220
559000,106457
560000,107911
561000,105375
562000,104098
563000,104555
564000,103707
565000,106785
566000,107445
567000,105448
568000,104478
569000,105475
570000,105733
571000,106781
572000,99952
573000,107007
574000,93704
575000,105695
576000,104922
577000,106820
578000,104927
579000,104571
580000,105478
581000,102632
582000,105726
583000,104922
584000,104483
585000,105522
586000,103003
587000,104222
588000,98125
589000,106558
590000,102597
591000,104355
592000,104377
593000,106129
594000,106216
595000,104265
596000,106096
597000,104969
598000,106572
599000,103947
600000,106939
601000,93877
602000,103720
603000,104312
604000,104071
605000,106224
606000,106640
607000,104355
608000,106203
609000,104186
610000,105140
611000,104427
612000,105389
613000,93540
614000,101423
615000,104622
616000,105527
617000,103116
618000,105310
619000,120208
620000,104356
621000,104026
622000,103084
623000,104611
624000,103139
625000,105733
626000,103110
627000,102698
628000,103082
629000,102976
630000,92405
631000,104544
632000,104271
633000,105906
634000,103480
635000,91454
636000,102281
637000,105205
638000,104695
639000,103854
640000,104865
641000,103519
642000,104367
643000,102678
644000,93204
645000,100882
646000,104394
647000,103232
648000,104875
649000,103440
650000,119529
651000,101579
652000,101886
653000,103148
654000,101849
655000,104086
656000,99571
657000,91835
658000,103158
659000,101266
660000,101502
661000,103974
662000,103207
663000,101216
664000,103939
665000,102278
666000,101443
667000,103795
668000,100457
669000,102430
670000,101139
671000,101585
672000,101794
673000,101970
674000,103271
675000,98578
676000,101982
677000,102319
678000,102372
679000,102671
680000,101024
681000,121300
682000,104041
683000,100675
684000,101444
685000,102728
686000,102445
687000,101262
688000,101049
689000,100538
690000,101380
691000,99324
692000,100274
693000,101912
694000,100273
695000,102140
696000,100363
697000,145689
698000,101641
699000,101793
700000,102714
701000,102061
702000,102833
703000,99429
704000,100807
705000,102167
706000,97399
707000,159089
708000,99238
709000,100693
710000,99633
711000,100376
712000,100577
713000,100141
714000,101178
715000,100012
716000,98932
717000,101476
718000,102261
719000,101519
720000,99933
721000,101162
722000,97483
723000,158804
724000,98440
725000,100619
726000,100298
727000,151282
728000,86882
729000,101372
730000,99931
731000,99715
732000,99647
733000,99283
734000,98039
735000,97826
736000,98055
737000,157346
738000,99032
739000,155364
740000,98160
741000,103106
742000,99105
743000,99304
744000,98019
745000,98718
746000,155992
747000,156106
748000,97949
749000,153146
750000,96886
751000,98963
752000,157885
753000,98750
754000,156846
755000,157134
756000,139008
757000,143915
758000,156039
759000,157288
760000,96231
761000,157058
762000,97856
763000,96377
764000,155669
765000,96903
766000,158698
767000,158092
768000,93805
769000,367202
770000,145624
771000,155926
772000,98705
773000,161440
774000,98656
775000,100980
776000,159713
777000,101538
778000,159305
779000,160371
780000,101156
781000,158754
782000,134276
783000,98014
784000,158223
785000,97463
786000,160225
787000,156707
788000,99195
789000,98254
790000,160198
791000,158716
792000,145756
793000,160226
794000,98323
795000,96894
796000,155387
797000,98541
798000,158623
799000,156986
800000,157978
801000,156466
802000,160238
803000,159726
804000,159554
805000,157071
806000,155055
807000,153725
808000,202504
809000,158264
810000,156963
811000,158267
812000,154633
813000,156349
814000,155814
815000,153036
816000,157638
817000,156309
818000,155797
819000,155378
820000,155441
821000,152784
822000,155918
823000,155052
824000,158530
825000,154491
826000,156583
827000,157429
828000,153537
829000,155114
830000,155588
831000,155662
832000,149861
833000,465293
834000,156749
835000,156446
836000,156525
837000,158948
838000,157813
839000,156916
840000,157928
841000,157514
842000,159434
843000,161408
844000,158536
845000,156197
846000,159052
847000,157991
848000,160271
849000,158124
850000,157274
851000,159973
852000,146338
853000,148027
854000,206465
855000,158849
856000,161201
857000,152150
858000,156822
859000,159727
860000,158396
861000,159210
862000,158205
863000,160095
864000,154689
865000,158294
866000,158704
867000,158432
868000,442280
869000,152548
870000,156044
871000,154370
