bytes,time (ns)
1000,463064
2000,385342
3000,574062
4000,710759
5000,919642
6000,1151064
7000,1328225
8000,1489494
9000,1688532
10000,1916942
11000,2121837
12000,2274213
13000,2587825
14000,2739258
15000,2946774
16000,3133463
17000,3324755
18000,3557813
19000,3776332
20000,3974835
21000,4152683
22000,4397956
23000,4573457
24000,4726134
25000,4878379
26000,5080194
27000,5242008
28000,5458813
29000,5585552
30000,5839508
31000,6016673
32000,6143485
33000,6299781
34000,6532676
35000,6695382
36000,6987093
37000,7209851
38000,7450614
39000,7696816
40000,7855783
41000,7979388
42000,8224010
43000,8460549
44000,8403084
45000,8860401
46000,8464721
47000,9181181
48000,8596475
49000,9468355
50000,9694459
51000,9935864
52000,8878005
53000,10132831
54000,9862125
55000,10743350
56000,10807602
57000,10908715
58000,10721617
59000,10876504
60000,11631816
61000,11949789
62000,12013851
63000,12084602
64000,12215225
65000,12335002
66000,12465985
67000,12761997
68000,12636421
69000,12729380
70000,11310089
71000,11723430
72000,13852422
73000,13818121
74000,12354128
75000,14245711
76000,14692156
77000,12757503
78000,15249934
79000,13970975
80000,15215614
81000,14943863
82000,15479264
83000,15476674
84000,15966543
85000,15495759
86000,16317825
87000,15717384
88000,15679229
89000,16710765
90000,17026119
91000,15269094
92000,16482148
93000,17097226
94000,17248175
95000,17205885
96000,17506143
97000,17462249
98000,17542011
99000,17746236
100000,17982028
101000,18227268
102000,18481292
103000,18156767
104000,18227757
105000,18348011
106000,18207025
107000,17749361
108000,18655687
109000,19570368
110000,18841870
111000,19031653
112000,18845626
113000,18920405
114000,18306484
115000,20646732
116000,19601189
117000,18169750
118000,17833816
119000,20269733
120000,19600145
121000,20157595
122000,19697834
123000,20082837
124000,20589026
125000,20928062
126000,20027653
127000,20861906
128000,20019124
129000,21850848
130000,19701051
131000,21044930
132000,21042650
133000,20276718
134000,21892536
135000,21358845
136000,21047845
137000,21569140
138000,22064577
139000,21887416
140000,19785287
141000,21815597
142000,22247028
143000,22890604
144000,22704880
145000,22946442
146000,22894949
147000,23022250
148000,23087121
149000,23059377
150000,23326535
151000,23616891
152000,23517955
153000,23458085
154000,23403069
155000,23338370
156000,23931516
157000,23836795
158000,24268151
159000,23872410
160000,23533741
161000,23766943
162000,24092210
163000,24616796
164000,22177001
165000,24613108
166000,24325013
167000,20699787
168000,26561072
169000,20313371
170000,18133968
171000,17822219
172000,20143135
173000,18315381
174000,24417532
175000,23749189
176000,18500554
177000,21833942
178000,26567048
179000,26588549
180000,24916876
181000,25145837
182000,22001852
183000,21300476
184000,23253913
185000,25272973
186000,19264483
187000,24296192
188000,19496689
189000,24645413
190000,26980965
191000,22739021
192000,23060580
193000,26134938
194000,19385777
195000,23958747
196000,27784517
197000,22223668
198000,25812493
199000,22254649
200000,24434450
201000,26096226
202000,20686513
203000,26237299
204000,22297797
205000,23986481
206000,24165936
207000,20476513
208000,18371506
209000,22478549
210000,25105317
211000,23995695
212000,17973335
213000,17591112
214000,22361787
215000,24539772
216000,27747412
217000,24616825
218000,27252460
219000,25486151
220000,18715755
221000,20447281
222000,22040166
223000,21949338
224000,22172276
225000,25444350
226000,22656835
227000,25143070
228000,27832741
229000,22620693
230000,21882602
231000,21561289
232000,24156879
233000,26558046
234000,23634620
235000,25185414
236000,28367039
237000,22409458
238000,24337934
239000,23757069
240000,22827810
241000,25061437
242000,24128332
243000,18615748
244000,22342619
245000,26085884
246000,21361891
247000,19784906
248000,26298174
249000,23034513
250000,25572673
251000,25036130
252000,25580205
253000,25946776
254000,24596335
255000,43689764
256000,24650543
257000,25680774
258000,25392293
259000,25152643
260000,26233557
261000,23252690
262000,23027886
263000,20307716
264000,23252532
265000,22187441
266000,23507842
267000,23514584
268000,22272572
269000,25617575
270000,22619703
271000,27191512
272000,22697764
273000,23509528
274000,23667743
275000,26844118
276000,23937149
277000,24516931
278000,22509118
279000,23616537
280000,23648954
281000,24366828
282000,24061388
283000,25527964
284000,25868667
285000,28747393
286000,30656403
287000,26927934
288000,24185270
289000,26688611
290000,29161721
291000,31960547
292000,28497897
293000,30757878
294000,23697679
295000,27769747
296000,30527450
297000,26898002
298000,29332469
299000,24447427
300000,25345757
301000,25733897
302000,28401551
303000,30259471
304000,26279908
305000,28864972
306000,25241131
307000,27466621
308000,29171643
309000,24089479
310000,25209103
311000,25519858
312000,28497581
313000,27444411
314000,25991855
315000,27964757
316000,25660137
317000,25695733
318000,29759861
319000,27819454
320000,25824870
321000,29120091
322000,25529517
323000,27336244
324000,30223911
325000,27109302
326000,37080191
327000,25558213
328000,25818701
329000,29722155
330000,26115533
331000,29981345
332000,26368405
333000,30186219
334000,26782365
335000,28013942
336000,29318908
337000,26633603
338000,26711722
339000,28483497
340000,27007131
341000,23934160
342000,27001892
343000,26915339
344000,30649545
345000,27033060
346000,26928113
347000,23327635
348000,27417435
349000,30704720
350000,25634745
351000,27116255
352000,28709059
353000,28256353
354000,30812326
355000,28025127
356000,27530751
357000,26991259
358000,29936100
359000,28540393
360000,27822510
361000,27181841
362000,28678081
363000,28551358
364000,41253110
365000,30710068
366000,24746528
367000,28408247
368000,27980135
369000,26751472
370000,28937361
371000,29530183
372000,30135859
373000,29974888
374000,29798006
375000,28833634
376000,27797107
377000,27197090
378000,25858238
379000,27352037
380000,26373269
381000,33349122
382000,28212060
383000,27663312
384000,27192689
385000,29277559
386000,30723093
387000,26200994
388000,30371046
389000,28563826
390000,31958670
391000,29956669
392000,32447219
393000,30536284
394000,28249565
395000,28583013
396000,30320364
397000,33061198
398000,30607960
399000,26681247
400000,31184252
401000,30898803
402000,31423473
403000,31377974
404000,29210292
405000,32267444
406000,31817921
407000,31670052
408000,27372659
409000,31221421
410000,31906813
411000,31965583
412000,28236798
413000,30948858
414000,32212672
415000,31601110
416000,32633623
417000,31592154
418000,32444282
419000,34708555
420000,31494794
421000,32250877
422000,31337254
423000,33014644
424000,32237311
425000,32731696
426000,32204916
427000,33256563
428000,37698720
429000,33311258
430000,33949852
431000,43020839
432000,32277924
433000,42099920
434000,37345170
435000,34733564
436000,38342130
437000,37587202
438000,34026467
439000,32611786
440000,35429220
441000,35819830
442000,45909532
443000,34777365
444000,38365087
445000,33501186
446000,36290751
447000,34860252
448000,36947235
449000,34476119
450000,34239852
451000,33836581
452000,39845886
453000,34118757
454000,37822910
455000,34185678
456000,39423102
457000,39578079
458000,39444324
459000,39968481
460000,39769648
461000,40271646
462000,36436318
463000,40283026
464000,40669819
465000,42404791
466000,35587956
467000,40899536
468000,42535815
469000,35132902
470000,40399008
471000,37295543
472000,41214046
473000,45346987
474000,39981163
475000,36555305
476000,40097981
477000,35803285
478000,40181730
479000,36372020
480000,40658700
481000,37698179
482000,36650272
483000,40369728
484000,43473624
485000,36673315
486000,36934965
487000,41282223
488000,38170524
489000,39936132
490000,42370378
491000,37693849
492000,41331000
493000,41668762
494000,41628576
495000,42211335
496000,37700121
497000,37290047
498000,44007781
499000,41859815
500000,42857801
501000,39670018
502000,42030843
503000,39345597
504000,43470348
505000,40239787
506000,43269265
507000,45350241
508000,40745142
509000,42061466
510000,42218551
511000,43127382
512000,44231195
513000,47337204
514000,42536879
515000,41368056
516000,40794603
517000,48368996
518000,44558123
519000,44601184
520000,43934688
521000,42763800
522000,43443064
523000,44946175
524000,40920417
525000,42476535
526000,42678795
527000,44108257
528000,44891242
529000,41659627
530000,45886024
531000,50474052
532000,44423792
533000,43976256
534000,40038585
535000,45379268
536000,44548053
537000,45092393
538000,41498207
539000,45364969
540000,44339077
541000,43539516
542000,45360947
543000,42621633
544000,46446981
545000,42375279
546000,43812176
547000,45147841
548000,42308198
549000,45079225
550000,45063353
551000,46471363
552000,43282937
553000,46955898
554000,44178419
555000,45196080
556000,46112543
557000,46938476
558000,45652325
559000,42911958
560000,42948843
561000,47791662
562000,45536292
563000,52028135
564000,42317178
565000,46818751
566000,45626689
567000,44680801
568000,48354458
569000,45833722
570000,43305168
571000,52977597
572000,45144153
573000,45000658
574000,45855160
575000,46300912
576000,48835894
577000,47934021
578000,49810913
579000,47741785
580000,46657989
581000,54603899
582000,52721209
583000,47681998
584000,50387255
585000,55000283
586000,49060695
587000,49076908
588000,49137466
589000,49869739
590000,50062255
591000,49053951
592000,49569382
593000,50572174
594000,49673646
595000,50876563
596000,49662602
597000,51017155
598000,51151182
599000,45912800
600000,48272832
601000,50394126
602000,49766817
603000,51723802
604000,51495500
605000,53748645
606000,52069855
607000,51541106
608000,51891310
609000,57465072
610000,51531043
611000,51362027
612000,49223880
613000,56144776
614000,48542836
615000,51615595
616000,57742278
617000,51919866
618000,51048156
619000,53267698
620000,51180282
