bytes,time (ns)
1000,158234
2000,53339
3000,41316
4000,39915
5000,38963
6000,38877
7000,39022
8000,44776
9000,40333
10000,40384
11000,45095
12000,41046
13000,41532
14000,37073
15000,44181
16000,43228
17000,43441
18000,42901
19000,42904
20000,43732
21000,44228
22000,45042
23000,44909
24000,44663
25000,45567
26000,45886
27000,50338
28000,46210
29000,49818
30000,46807
31000,48664
32000,49037
33000,48231
34000,47869
35000,56945
36000,53145
37000,49636
38000,48826
39000,49309
40000,51862
41000,54982
42000,52909
43000,53531
44000,52728
45000,53306
46000,54840
47000,53955
48000,54215
49000,54686
50000,58308
51000,52536
52000,53036
53000,57210
54000,56719
55000,82718
56000,61540
57000,56385
58000,58818
59000,56330
60000,56569
61000,58648
62000,57700
63000,56845
64000,59600
65000,57732
66000,58840
67000,73509
68000,73798
69000,69453
70000,70167
71000,70190
72000,71964
73000,71161
74000,71701
75000,71458
76000,71751
77000,73147
78000,72374
79000,74349
80000,72933
81000,72251
82000,75184
83000,73285
84000,72627
85000,71637
86000,73866
87000,72623
88000,73684
89000,74636
90000,75851
91000,74398
92000,73579
93000,73646
94000,75884
95000,74617
96000,74952
97000,75713
98000,74680
99000,86472
100000,71989
101000,81076
102000,76901
103000,78050
104000,77880
105000,80811
106000,76938
107000,78272
108000,77198
109000,77579
110000,68843
111000,74348
112000,78681
113000,78562
114000,79184
115000,79509
116000,81173
117000,80516
118000,79677
119000,80578
120000,71387
121000,70566
122000,73967
123000,82280
124000,80232
125000,81407
126000,81658
127000,82898
128000,82713
129000,74546
130000,71432
131000,81497
132000,87984
133000,87095
134000,89169
135000,85051
136000,85490
137000,88207
138000,86003
139000,103131
140000,87180
141000,88812
142000,87331
143000,87955
144000,87759
145000,87868
146000,89144
147000,88441
148000,87706
149000,86670
150000,88403
151000,89326
152000,88387
153000,89931
154000,89161
155000,89707
156000,90009
157000,89205
158000,98249
159000,88944
160000,90308
161000,90657
162000,89061
163000,89898
164000,89481
165000,89719
166000,91565
167000,93581
168000,92223
169000,80887
170000,91387
171000,92286
172000,91355
173000,91819
174000,92131
175000,92581
176000,93442
177000,93300
178000,92533
179000,93069
180000,92904
181000,92372
182000,91430
183000,92065
184000,93125
185000,94361
186000,94077
187000,93971
188000,93327
189000,94781
190000,93025
191000,94243
192000,93895
193000,95489
194000,94485
195000,95781
196000,98200
197000,97217
198000,97627
199000,98901
200000,99514
201000,98964
202000,99078
203000,97153
204000,97910
205000,100162
206000,98687
207000,101238
208000,101879
209000,98364
210000,107929
211000,100596
212000,100464
213000,102171
214000,100860
215000,100429
216000,107714
217000,100938
218000,103049
219000,100825
220000,94755
221000,94922
222000,95749
223000,94404
224000,94605
225000,95197
226000,94689
227000,95862
228000,95411
229000,95494
230000,95203
231000,96832
232000,100401
233000,95540
234000,97436
235000,97466
236000,96988
237000,97409
238000,98098
239000,97681
240000,99565
241000,99706
242000,98172
243000,99392
244000,100382
245000,105635
246000,104030
247000,101936
248000,100981
249000,101860
250000,101953
251000,101118
252000,100787
253000,102100
254000,101922
255000,102629
256000,101281
257000,101496
258000,102715
259000,102066
260000,100068
261000,103306
262000,103504
263000,111400
264000,109524
265000,111192
266000,110403
267000,111231
268000,111132
269000,111208
270000,109932
271000,113116
272000,110818
273000,111383
274000,111665
275000,111460
276000,110720
277000,122377
278000,112589
279000,113080
280000,111969
281000,113775
282000,112133
283000,114092
284000,112581
285000,113880
286000,112098
287000,113188
288000,114029
289000,113613
290000,114012
291000,114054
292000,116060
293000,115203
294000,114808
295000,114991
296000,114037
297000,117367
298000,116480
299000,117708
300000,116541
301000,117920
302000,115806
303000,117777
304000,101875
305000,108084
306000,107693
307000,108027
308000,105650
309000,111465
310000,102116
311000,109748
312000,108529
313000,110136
314000,103491
315000,103660
316000,111773
317000,109625
318000,109954
319000,110488
320000,110830
321000,112329
322000,109932
323000,108664
324000,109908
325000,113287
326000,111523
327000,114034
328000,119537
329000,120074
330000,118188
331000,119737
332000,119986
333000,119887
334000,121689
335000,118830
336000,121083
337000,120927
338000,119828
339000,120036
340000,131427
341000,122465
342000,119486
343000,121125
344000,119201
345000,119172
346000,123785
347000,120536
348000,122279
349000,120826
350000,119830
351000,122689
352000,120313
353000,122460
354000,123985
355000,121263
356000,123553
357000,121231
358000,123248
359000,123754
360000,124427
361000,127014
362000,124012
363000,121955
364000,126793
365000,126024
366000,126450
367000,127260
368000,123075
369000,134529
370000,126667
371000,127393
372000,123550
373000,128484
374000,128079
375000,125837
376000,124962
377000,130574
378000,109597
379000,109344
380000,110790
381000,109722
382000,109125
383000,108806
384000,110630
385000,109605
386000,110270
387000,111914
388000,110331
389000,116073
390000,109745
391000,113687
392000,111367
393000,117199
394000,116755
395000,116082
396000,118632
397000,116168
398000,118449
399000,117779
400000,122186
401000,119773
402000,117224
403000,117943
404000,118559
405000,118865
406000,124097
407000,118799
408000,117121
409000,117731
410000,119625
411000,119257
412000,118344
413000,118696
414000,126307
415000,119433
416000,118284
417000,123648
418000,119573
419000,125315
420000,120309
421000,120323
422000,121332
423000,126888
424000,121890
425000,124863
426000,120824
427000,119886
428000,121832
429000,123864
430000,120763
431000,128681
432000,121838
433000,124190
434000,129135
435000,124106
436000,129242
437000,123276
438000,125669
439000,129991
440000,127938
441000,130785
442000,129365
443000,128696
444000,129422
445000,130523
446000,122689
447000,131708
448000,130598
449000,125309
450000,130236
451000,132627
452000,124552
453000,131602
454000,142460
455000,117987
456000,119183
457000,120502
458000,123085
459000,123695
460000,126975
461000,125444
462000,124987
463000,134671
464000,117813
465000,119709
466000,114238
467000,114813
468000,118158
469000,120403
470000,122859
471000,115753
472000,116534
473000,117274
474000,116505
475000,119983
476000,117076
477000,115972
478000,121469
479000,122783
480000,121704
481000,123616
482000,119907
483000,119863
484000,120085
485000,123962
486000,123547
487000,123384
488000,129171
489000,125459
490000,132187
491000,133511
492000,126979
493000,126339
494000,131757
495000,127299
496000,126252
497000,130440
498000,132004
499000,130777
500000,133681
501000,136920
502000,136616
503000,153097
504000,147674
505000,150598
506000,152179
507000,147456
508000,154966
509000,147934
510000,153813
511000,153122
512000,151092
513000,148546
514000,152933
515000,152826
516000,155703
517000,160959
518000,154078
519000,153661
520000,154702
521000,156365
522000,156319
523000,159010
524000,160316
525000,158781
526000,155257
527000,159850
528000,159118
529000,160430
530000,160109
531000,161068
532000,127186
533000,125498
534000,127120
535000,126978
536000,125810
537000,130222
538000,131470
539000,127142
540000,126331
541000,127448
542000,128751
543000,133287
544000,136648
545000,136803
546000,137377
547000,136579
548000,136781
549000,134616
550000,135546
551000,138050
552000,137560
553000,137853
554000,137401
555000,137472
556000,137759
557000,139763
558000,139165
559000,138585
560000,139207
561000,139697
562000,137609
563000,136150
564000,142197
565000,135534
566000,136746
567000,138124
568000,138463
569000,142712
570000,144551
571000,141896
572000,142794
573000,143092
574000,144037
575000,141433
576000,142892
577000,140513
578000,143979
579000,176400
580000,169108
581000,173372
582000,173212
583000,175705
584000,173183
585000,173379
586000,167593
587000,170687
588000,174176
589000,172585
590000,174153
591000,173959
592000,173117
593000,177775
594000,173266
595000,133483
596000,138367
597000,133546
598000,132956
599000,132926
600000,136044
601000,133476
602000,133870
603000,138366
604000,138227
605000,134244
606000,138926
607000,134186
608000,133282
609000,137697
610000,139939
611000,139133
612000,138637
613000,139828
614000,138306
615000,139350
616000,136484
617000,138636
618000,140930
619000,144590
620000,144874
621000,146080
622000,141970
623000,141814
624000,141079
625000,142735
626000,138440
627000,142013
628000,138374
629000,137271
630000,145262
631000,144140
632000,142343
633000,142810
634000,142539
635000,142542
636000,142512
637000,141247
638000,144116
639000,143597
640000,144905
641000,146823
642000,144754
643000,148566
644000,145003
645000,145808
646000,150635
647000,143145
648000,142556
649000,145859
650000,144684
651000,146332
652000,147278
653000,150973
654000,154216
655000,153309
656000,148389
657000,152633
658000,149751
659000,151863
660000,155815
661000,150603
662000,163343
663000,144555
664000,146048
665000,144101
666000,146398
667000,145218
668000,145498
669000,145437
670000,145282
671000,146761
672000,153505
673000,149194
674000,145075
675000,143410
676000,145560
677000,149116
678000,144893
679000,145991
680000,146607
681000,146359
682000,148178
683000,147333
684000,150711
685000,144738
686000,148837
687000,151230
688000,147279
689000,146547
690000,151030
691000,146924
692000,146972
693000,150694
694000,149951
695000,148382
696000,148486
697000,155388
698000,148517
699000,149542
700000,152080
701000,154430
702000,154379
703000,151114
704000,150364
705000,152061
706000,156714
707000,154479
708000,155107
709000,151485
710000,155603
711000,153602
712000,157118
713000,154988
714000,156637
715000,156578
716000,159565
717000,157831
718000,157237
719000,156584
720000,155899
721000,158116
722000,163297
723000,158376
724000,155869
725000,156762
726000,167056
727000,155340
728000,156722
729000,155110
730000,157429
731000,157774
732000,154770
733000,151713
734000,157065
735000,155538
736000,155566
737000,154688
738000,155494
739000,157020
740000,157561
741000,154572
742000,158122
743000,152884
744000,158285
745000,154491
746000,166903
747000,156216
748000,157059
749000,158584
750000,155320
751000,160279
752000,158439
753000,154088
754000,160446
755000,158156
756000,154931
757000,155874
758000,159755
759000,160099
760000,163489
761000,156836
762000,160323
763000,159845
764000,162352
765000,161357
766000,160452
767000,166406
768000,159352
769000,161607
770000,174135
771000,164747
772000,160784
773000,162365
774000,163423
775000,166230
776000,166234
777000,160854
778000,166369
779000,161337
780000,164404
781000,165540
782000,162781
783000,176621
784000,161182
785000,161803
786000,161604
787000,162630
788000,162782
789000,163947
790000,166392
791000,163089
792000,165056
793000,168243
794000,165666
795000,164095
796000,164294
797000,169435
798000,167062
799000,165899
800000,163999
801000,167417
802000,168467
803000,166695
804000,166365
805000,167887
806000,165890
807000,167956
808000,168572
809000,167745
810000,169189
811000,164018
812000,165555
813000,165946
814000,169756
815000,166403
816000,169623
817000,170000
818000,167981
819000,166388
