bytes,time (ns)
1000,460961
2000,407673
3000,554120
4000,716965
5000,884290
6000,1106950
7000,1306272
8000,1479480
9000,1581941
10000,1825887
11000,2031371
12000,2147676
13000,2317736
14000,2642850
15000,2862652
16000,3108180
17000,3279452
18000,3512413
19000,3739571
20000,3909958
21000,4087856
22000,4318733
23000,4492181
24000,4645908
25000,4774264
26000,4944688
27000,5130688
28000,5328482
29000,5461199
30000,5716140
31000,5873591
32000,5987445
33000,6087385
34000,6321968
35000,6486413
36000,6767495
37000,7008516
38000,7232659
39000,7456740
40000,7574616
41000,7675450
42000,7915236
43000,8157737
44000,8391383
45000,8539104
46000,8138665
47000,8885520
48000,8450054
49000,9116175
50000,8800552
51000,9522669
52000,9383014
53000,9836975
54000,9975703
55000,9761065
56000,10464387
57000,10282656
58000,10675324
59000,10774025
60000,10645124
61000,11634601
62000,11601181
63000,11727303
64000,11838780
65000,11908355
66000,12130592
67000,12361705
68000,12380223
69000,12644366
70000,11410505
71000,11428148
72000,10866230
73000,12554894
74000,13713283
75000,11864665
76000,13551425
77000,14611373
78000,12478103
79000,14356129
80000,14498095
81000,14590317
82000,14686588
83000,14890176
84000,14821468
85000,15652789
86000,14514496
87000,15545436
88000,16037570
89000,15885932
90000,15851650
91000,16310798
92000,16510616
93000,16583135
94000,16422035
95000,16024356
96000,16839324
97000,16761733
98000,16880077
99000,17046930
100000,17334310
101000,17474315
102000,17668393
103000,17871794
104000,17954234
105000,17577830
106000,17595765
107000,17668172
108000,18022618
109000,17810299
110000,17006630
111000,18785986
112000,18924435
113000,18235665
114000,17385260
115000,17664272
116000,19468229
117000,18540466
118000,18438506
119000,19501745
120000,18701492
121000,20409987
122000,18900266
123000,20462147
124000,19020151
125000,20263814
126000,18583068
127000,19578811
128000,19243092
129000,20666243
130000,19687424
131000,20199229
132000,20859259
133000,19372941
134000,20736785
135000,21120966
136000,20589030
137000,18293408
138000,21565202
139000,21727473
140000,21109900
141000,19549802
142000,21125574
143000,21498538
144000,21731943
145000,21784221
146000,22054391
147000,22353088
148000,22389378
149000,22312335
150000,22294614
151000,22220487
152000,22322423
153000,22468408
154000,23115913
155000,22731139
156000,23286383
157000,22967715
158000,23112652
159000,23287897
160000,23584558
161000,22597742
162000,18365311
163000,17854913
164000,24232250
165000,23743239
166000,23708398
167000,19185553
168000,22233055
169000,24321017
170000,24191155
171000,23880286
172000,23074791
173000,20653616
174000,21756338
175000,23274692
176000,25103664
177000,20771528
178000,22164979
179000,24106818
180000,24083330
181000,18963562
182000,25233534
183000,18911443
184000,25200516
185000,18543703
186000,23914480
187000,24432687
188000,18533154
189000,24130624
190000,26384715
191000,18445779
192000,20987207
193000,20851078
194000,18133344
195000,22834722
196000,24861443
197000,26088987
198000,22350547
199000,21591591
200000,24941505
201000,28482046
202000,28301446
203000,28227869
204000,28344252
205000,29244569
206000,28946321
207000,28626743
208000,27084094
209000,25870926
210000,23352660
211000,26149034
212000,21208912
213000,18364817
214000,20690094
215000,18988555
216000,24278074
217000,23440324
218000,26158438
219000,22149142
220000,24132093
221000,24562770
222000,21189469
223000,21053508
224000,21024656
225000,21581951
226000,23105708
227000,25658935
228000,26161219
229000,25539925
230000,21784910
231000,24374397
232000,24460726
233000,23036848
234000,25079069
235000,28489764
236000,31710336
237000,22612964
238000,21774516
239000,25052159
240000,26462578
241000,24438274
242000,20348494
243000,25681434
244000,21293540
245000,19270433
246000,25616288
247000,22848655
248000,24938453
249000,27711543
250000,41329050
251000,30356358
252000,22509972
253000,22364815
254000,24774073
255000,25760980
256000,23150919
257000,25113035
258000,24551250
259000,23271008
260000,25332432
261000,22339482
262000,27714542
263000,21793837
264000,26418894
265000,25622738
266000,22629131
267000,25491434
268000,24888173
269000,23875103
270000,24285521
271000,23312114
272000,25810731
273000,22360789
274000,23154020
275000,23467340
276000,22885740
277000,24898858
278000,23967847
279000,23649226
280000,23886873
281000,23870519
282000,24422274
283000,25243687
284000,23450141
285000,23523485
286000,23212586
287000,23641115
288000,23291338
289000,24489660
290000,22644016
291000,26894139
292000,29994550
293000,22781236
294000,25086880
295000,25124016
296000,21881398
297000,27280906
298000,29754771
299000,26065583
300000,23973629
301000,27740341
302000,27613702
303000,25775005
304000,25606041
305000,27538873
306000,25616612
307000,29513381
308000,24976823
309000,24044358
310000,22522528
311000,26260289
312000,29429410
313000,30549189
314000,28792734
315000,30153186
316000,32524209
317000,33897431
318000,30393652
319000,28201555
320000,22687793
321000,29039542
322000,25889993
323000,28557848
324000,22588043
325000,27783717
326000,22544246
327000,27727662
328000,29173524
329000,26998894
330000,30564142
331000,27976175
332000,22464599
333000,27176040
334000,29666276
335000,27771325
336000,35051040
337000,32625456
338000,25867510
339000,27709445
340000,23779594
341000,23895875
342000,26906234
343000,25144183
344000,27400415
345000,29769167
346000,27224170
347000,27396660
348000,36506622
349000,34489185
350000,26097859
351000,33232257
352000,35000697
353000,26588157
354000,27225060
355000,24102179
356000,28176575
357000,24702883
358000,25515246
359000,27851539
360000,27568723
361000,27716295
362000,26283486
363000,27681944
364000,27625246
365000,29621488
366000,27975516
367000,25732945
368000,28080836
369000,25899699
370000,28065746
371000,26240454
372000,28055999
373000,28638849
374000,27886150
375000,28214362
376000,28543662
377000,27621189
378000,27066462
379000,25760368
380000,29629967
381000,27177172
382000,27420948
383000,35618710
384000,29754930
385000,39005725
386000,25369760
387000,27171186
388000,26355184
389000,29051549
390000,29099366
391000,29686148
392000,28540596
393000,30246183
394000,29821208
395000,30073413
396000,33174926
397000,30286391
398000,30289384
399000,33501556
400000,29870555
401000,29822561
402000,26594937
403000,30038014
404000,26615267
405000,30734702
406000,31260431
407000,29594261
408000,31268001
409000,29454876
410000,36372148
411000,30240579
412000,31810329
413000,36042635
414000,44588034
415000,29133534
416000,30655805
417000,31665916
418000,39192818
419000,35292570
420000,28457455
421000,35028605
422000,29199274
423000,37788755
424000,34075511
425000,33027069
426000,31894512
427000,37509252
428000,31245948
429000,35062575
430000,29276387
431000,32836319
432000,37619581
433000,45836928
434000,33128089
435000,36080021
436000,34329252
437000,36988506
438000,33532367
439000,37772452
440000,37808301
441000,36318609
442000,29830791
443000,36889780
444000,38193604
445000,32755458
446000,36884460
447000,33381510
448000,37396909
449000,40165788
450000,39749944
451000,39459230
452000,37424240
453000,33339473
454000,33368248
455000,38286754
456000,41068422
457000,42042794
458000,34246403
459000,34345478
460000,33586338
461000,38855532
462000,40878663
463000,34801757
464000,33941389
465000,45735607
466000,34362314
467000,38379637
468000,36385579
469000,34646825
470000,39465740
471000,38590368
472000,41336978
473000,39472207
474000,35617002
475000,35941200
476000,42251374
477000,39886866
478000,42187471
479000,36766954
480000,37925311
481000,42725105
482000,36937637
483000,45130263
484000,40154806
485000,36087366
486000,40283408
487000,38529001
488000,40066287
489000,39692452
490000,43799025
491000,42138500
492000,44729771
493000,44383044
494000,40968266
495000,40694447
496000,41083543
497000,36734326
498000,36790033
499000,37950109
500000,37947763
501000,37858559
502000,39023097
503000,41910135
504000,38253268
505000,40122097
506000,40888078
507000,40783541
508000,38141231
509000,44587697
510000,39908069
511000,41923230
512000,42950093
513000,42646824
514000,42512250
515000,43269491
516000,40587450
517000,38934814
518000,43110157
519000,44987916
520000,39301995
521000,43715588
522000,44044312
523000,42135433
524000,41718597
525000,41045190
526000,40006321
527000,42589278
528000,42604382
529000,43868720
530000,45964073
531000,49137122
532000,43769288
533000,44229510
534000,43797977
535000,42936122
536000,46376779
537000,44415969
538000,43221102
539000,45844934
540000,40083901
541000,43928323
542000,43925145
543000,40389656
544000,43850882
545000,39766954
546000,49445905
547000,40048674
548000,49900127
549000,41473997
550000,40438346
551000,52966814
552000,46176286
553000,42097897
554000,46364242
555000,44649087
556000,40605405
557000,43637702
558000,46725331
559000,47118216
560000,44704308
561000,46026313
562000,42398690
563000,47570925
564000,41554813
565000,42343898
566000,47448907
567000,47675585
568000,43621349
569000,46183405
570000,53656027
571000,55846083
572000,44895116
573000,44306591
574000,46278017
575000,43649386
576000,47047011
577000,47398153
578000,45240237
579000,48675538
580000,49418417
581000,47452725
582000,43483725
583000,49101912
584000,49686011
585000,49320105
586000,48251964
587000,49847746
588000,51942560
589000,44988362
590000,46080835
591000,47484542
592000,51138207
593000,49288171
594000,45196748
595000,52479614
596000,46838092
597000,50410424
598000,54234477
599000,46351691
600000,50075798
601000,49475678
602000,49710913
603000,50784358
604000,49935128
605000,51323718
606000,53399484
607000,48713446
608000,50127994
609000,55656046
610000,56755635
611000,53133382
612000,50349723
613000,51196693
614000,51266422
615000,51315958
616000,52514740
617000,56057546
618000,46978848
619000,58863219
620000,48545908
621000,51388342
622000,48819961
623000,48159705
624000,51604023
625000,48252598
626000,58166194
627000,53318734
628000,52340016
629000,51349103
630000,47799793
631000,52231685
632000,47854253
633000,57892946
634000,52849166
635000,58564019
636000,50820841
637000,56034437
638000,56128831
639000,49687006
640000,53352707
641000,54460686
642000,56237817
643000,53770871
644000,52589523
645000,59241626
646000,53241020
647000,52399440
648000,53623108
649000,54728880
650000,50643704
651000,60046174
652000,60584627
653000,53289786
654000,54650189
655000,64572209
656000,55163510
657000,63432832
658000,51895739
659000,54328277
660000,61400164
661000,54824245
662000,50713100
663000,55036257
664000,56582501
665000,54471311
666000,50979618
667000,55236473
668000,60098258
669000,54674882
670000,55646001
671000,54762373
672000,55943895
673000,55355463
674000,54855911
675000,54619836
676000,53442483
677000,63667210
678000,53049654
679000,58376290
680000,59670361
681000,53584624
682000,59752047
683000,52506366
684000,51639121
685000,61612260
686000,54386196
687000,52652607
688000,53106959
689000,52916822
690000,56516276
691000,56853793
692000,56277486
693000,55860032
694000,60863510
695000,58988607
696000,61844973
697000,56920313
698000,54787645
699000,55168236
700000,59218218
701000,65321672
702000,69354471
703000,58074776
704000,60222674
705000,57586531
706000,55413481
707000,58009631
708000,55968734
709000,60499262
710000,62240607
711000,60413178
712000,58195960
713000,57241950
714000,59595784
715000,60790679
716000,60393144
717000,60331564
718000,60918329
719000,61959042
720000,59805005
721000,59757093
722000,58133864
723000,61656959
724000,59183297
725000,60547376
726000,61423749
727000,60656107
728000,60256736
729000,57640080
730000,62791493
731000,60707282
732000,64429349
733000,65702135
734000,56891633
735000,60973156
736000,63183712
737000,61240536
738000,57324615
739000,62789016
740000,61327124
741000,61256314
742000,57722031
743000,56591799
744000,65919538
745000,57920169
746000,60603407
747000,67720043
748000,61495913
749000,72209088
750000,63024617
751000,61303806
752000,62506054
753000,60213271
754000,61621343
755000,64021340
756000,64308918
757000,58724021
758000,61749824
759000,62043391
760000,61581919
761000,65074556
762000,62002017
763000,59727183
764000,65674912
765000,60164851
766000,66077369
767000,64281045
768000,59944085
769000,65947677
770000,62843134
771000,62418849
772000,64192542
773000,63139500
774000,63844344
775000,69055670
776000,63062485
777000,64707317
778000,63913643
779000,65516698
780000,64108098
781000,68819532
782000,63283354
783000,60076737
784000,64821711
785000,63744931
786000,61068607
787000,63377327
788000,60749668
789000,63666012
790000,65404766
791000,64639010
792000,61744940
793000,63012847
794000,71642751
795000,64260275
796000,65075949
797000,74174149
798000,60240163
799000,65856209
800000,62870123
801000,64860121
802000,73064801
803000,62277401
804000,66540148
805000,61886164
806000,66314556
807000,72061167
808000,65213309
809000,73539352
810000,65334193
811000,66099230
812000,66368965
813000,65015598
814000,61879721
815000,64475207
816000,66686816
817000,69012827
818000,64147566
819000,66702241
820000,67607627
821000,62534373
822000,65118901
823000,72510819
824000,65008514
825000,66348195
826000,67789513
827000,64357442
828000,66776507
829000,67738983
830000,66882236
831000,68482707
832000,63953809
833000,70031525
834000,72129088
835000,66332055
836000,69876652
837000,75503065
838000,73695807
839000,67530964
840000,68502994
841000,68326187
842000,69131414
843000,67442190
844000,67776632
845000,66231714
846000,66792552
847000,66161056
848000,71976333
849000,66904834
850000,75661425
851000,68706008
852000,65248434
853000,67740073
854000,66978249
855000,70139987
856000,69350128
857000,68652306
858000,67671482
859000,70197685
860000,78775315
861000,68696557
862000,71249344
863000,68890209
864000,69380001
865000,69302866
866000,71516287
867000,77603621
868000,71843349
869000,81585880
870000,70214362
871000,70853348
872000,69600452
873000,71613749
874000,77124107
875000,69624805
876000,72179361
877000,71256965
878000,80817059
879000,69225415
880000,75309671
881000,73721735
882000,81844396
